timestamp,az,el,srange
1765025628.0580668,80.50379332940783,-32.260399784084086,6803670.716417594
1765025628.270467,77.13207380226787,-19.735230693699652,4301196.57302382
1765025628.4580712,73.49154900449646,-8.865528506553419,1958081.5285956294
1765025628.6146128,75.32680808381184,-21.183708522572758,168.98279124323815
1765025628.6580904,75.33407932891379,-21.187660778465226,168.9655707719787
1765025628.815699,75.36045369548775,-21.201992076163826,168.90317216414297
1765025628.860477,75.36500905220284,-21.197347415422854,168.89010133677294
1765025629.0156982,75.38080327348064,-21.181240353699252,168.84480755764548
1765025629.05821,75.37714199823331,-21.177255401921883,168.82799891075675
1765025629.2156906,75.36357453585225,-21.16248594467024,168.76574530497126
1765025629.258124,75.50441005526267,-18.58637740877437,165.93398934359485
1765025629.4345572,76.09197660878883,-7.07501372718407,158.05806839227157
1765025629.4630613,76.09202235327656,-7.07565690503934,158.05811969096277
1765025629.6157093,76.09226732835727,-7.079101306022158,158.0583947454879
1765025629.658169,76.09229004018404,-7.078702497085422,158.0587967721782
1765025629.8146274,76.09237372910289,-7.077232960432913,158.06027824677128
1765025629.86055,76.09222134775268,-7.078214223633092,158.0601877606403
1765025630.0157902,76.0917062187147,-7.081531378811493,158.0598822218153
1765025630.2346218,76.09310004693066,-7.081127109163181,158.0609384281934
1765025630.2581933,76.08840402723973,-7.089999378562774,158.17081039034989
1765025630.448208,76.05077887486483,-7.161071183036345,159.0566867636355
1765025630.614749,76.01813534327226,-7.222712646517884,159.83337936265804
1765025630.6582193,76.01814212674678,-7.222483491826496,159.83338470627385
1765025630.815778,76.01816671176357,-7.221652917082258,159.83340409076573
1765025630.8582346,76.0181915053353,-7.221880761682457,159.83350445084972
1765025631.0582702,76.01830831977826,-7.222954249865243,159.83397733020018
1765025631.2347956,76.01841140519632,-7.223901566111816,159.83439468041243
1765025631.2582822,76.01835556663328,-7.224164677157818,159.83414515935024
1765025631.4158387,76.0179809767041,-7.22592974093,159.83247137693343
1765025631.4583147,76.01819453469197,-7.226132443766398,159.832133259754
1765025631.6158605,76.01898664240618,-7.226884285996782,159.83087920287582
1765025631.660701,76.01874182233261,-7.2266839434956225,159.83091354946293
1765025631.8148632,76.01790013207265,-7.225995163629119,159.83103167015514
1765025631.8632212,76.01789309080712,-7.225399976129408,159.83098618122912
1765025632.0148628,76.01787100991118,-7.223533573481509,159.83084364861526
1765025632.0607235,76.0179127870595,-7.223704629252588,159.8306310490292
1765025632.260724,76.01809497993575,-7.224450614800679,159.82970391104496
1765025632.4159374,76.01823637566298,-7.2250295542149665,159.82898441263282
1765025632.4607644,76.01823718795565,-7.225409268349757,159.82937793312212
1765025632.6148658,76.01823998093153,-7.22671459284598,159.83073078921785
1765025632.6632893,76.01832206873848,-7.226907892365857,159.8311778049463
